person_id,FullDateUSA,min_reg_id,total_platelet_donations
52969462,07/10/2018,108554702,1
53076860,07/10/2018,108554630,1
53451425,07/10/2018,108554726,1
53479060,07/10/2018,108554716,1
53572518,07/10/2018,108554838,2
53579988,07/10/2018,108554945,2
53585268,07/10/2018,108555792,1
53714908,07/10/2018,108554714,1
54003707,07/10/2018,108557043,1
54229691,07/10/2018,108554560,1
623582,07/10/2018,108554725,1
2325913,07/10/2018,108557046,1
50161642,07/10/2018,108557007,1
50560115,07/10/2018,108554694,3
51714062,07/10/2018,108554961,1
51715165,07/10/2018,108554683,2
51746784,07/10/2018,108554609,2
51792929,07/10/2018,108554727,2
51856953,07/10/2018,108555609,1
51864206,07/10/2018,108555010,3
51888959,07/10/2018,108554774,2
51900990,07/10/2018,108555497,2
52113805,07/10/2018,108555086,2
52491676,07/10/2018,108555173,1
52693928,07/10/2018,108554744,2
52968497,07/10/2018,108555213,2
52979296,07/10/2018,108554605,2
53476172,07/10/2018,108554906,2
53500205,07/10/2018,108554611,2
53697431,07/10/2018,108554896,1
54095152,07/10/2018,108555872,2
54100586,07/10/2018,108554968,1
54109275,07/10/2018,108554613,3
54120558,07/10/2018,108554627,2
54121559,07/10/2018,108554748,2
54174486,07/10/2018,108554583,2
54186118,07/10/2018,108554819,2
54196414,07/10/2018,108554614,2
54213446,07/10/2018,108554722,3
2178046,07/10/2018,108556105,1
50081133,07/10/2018,108557006,1
50378379,07/10/2018,108556795,1
50426990,07/10/2018,108557049,1
51778826,07/10/2018,108555324,1
51787791,07/10/2018,108555757,2
51829246,07/10/2018,108554724,1
52120146,07/10/2018,108557047,1
52146811,07/10/2018,108554673,3
52413973,07/10/2018,108555694,1
52460392,07/10/2018,108554872,3
52562483,07/10/2018,108555857,2
52895120,07/10/2018,108554576,2
52900198,07/10/2018,108554597,1
52900566,07/10/2018,108554860,2
52900761,07/10/2018,108554637,2
52959585,07/10/2018,108554699,2
53052409,07/10/2018,108554608,2
53116660,07/10/2018,108554888,3
53178012,07/10/2018,108554914,1
53252607,07/10/2018,108554607,2
53592164,07/10/2018,108554623,2
53698656,07/10/2018,108554891,2
53975071,07/10/2018,108554746,3
54184195,07/10/2018,108554854,2
54185047,07/10/2018,108554821,2
54198951,07/10/2018,108554543,2
54200355,07/10/2018,108554646,1
54267814,07/10/2018,108554631,2
54344624,07/10/2018,108555856,2
250967,07/10/2018,108554678,2
462648,07/10/2018,108554853,1
1343080,07/10/2018,108557039,1
1724607,07/10/2018,108554789,1
50135526,07/10/2018,108557004,1
50226024,07/10/2018,108556796,1
50236252,07/10/2018,108556999,1
50482376,07/10/2018,108555225,1
50816144,07/10/2018,108554909,2
51750587,07/10/2018,108555711,1
51801390,07/10/2018,108554883,2
51820981,07/10/2018,108554635,2
51825975,07/10/2018,108554682,1
51833865,07/10/2018,108554776,1
51883985,07/10/2018,108554805,2
52271933,07/10/2018,108554701,2
52369935,07/10/2018,108554695,2
52810808,07/10/2018,108556793,1
52903429,07/10/2018,108555065,2
52939680,07/10/2018,108554618,2
52949639,07/10/2018,108554571,1
53311746,07/10/2018,108554588,3
53459568,07/10/2018,108554662,3
53689517,07/10/2018,108555687,1
54092620,07/10/2018,108554728,1
54108613,07/10/2018,108554556,2
54268904,07/10/2018,108554542,2
54577508,07/10/2018,108555844,2
54627863,07/10/2018,108554563,2
54731779,07/10/2018,108555084,1
54795471,07/10/2018,108555948,1
54858194,07/10/2018,108555433,3
55053529,07/10/2018,108555876,1
55072266,07/10/2018,108555668,1
55072315,07/10/2018,108555945,1
55072316,07/10/2018,108555946,1
54976704,07/10/2018,108554864,1
55027590,07/10/2018,108554596,1
54301196,07/10/2018,108554626,2
54608547,07/10/2018,108557052,1
54608915,07/10/2018,108554946,1
54633408,07/10/2018,108555326,1
54724647,07/10/2018,108557008,1
54733421,07/10/2018,108555690,2
54847503,07/10/2018,108554688,2
54878153,07/10/2018,108554911,2
54886834,07/10/2018,108554732,2
55072317,07/10/2018,108555947,1
54531729,07/10/2018,108554900,1
54583103,07/10/2018,108555087,2
54791457,07/10/2018,108554955,1
54894932,07/10/2018,108554806,1
54920595,07/10/2018,108557053,2
55051244,07/10/2018,108554747,2
54508545,07/10/2018,108555104,3
54748400,07/10/2018,108556790,1
54850998,07/10/2018,108554773,1
55072338,07/10/2018,108556009,1
55072690,07/10/2018,108557003,1
55073243,07/11/2018,108558723,1
54717619,07/11/2018,108558720,1
54593477,07/11/2018,108557193,1
55073222,07/11/2018,108558701,1
55073286,07/11/2018,108558999,1
55073288,07/11/2018,108559004,1
55005743,07/11/2018,108559003,1
55013583,07/11/2018,108557154,2
54848674,07/11/2018,108559594,2
54852916,07/11/2018,108560017,1
54772580,07/11/2018,108559599,1
55073287,07/11/2018,108559000,1
55073289,07/11/2018,108559007,1
54895992,07/11/2018,108557212,2
54826418,07/11/2018,108557560,1
54734411,07/11/2018,108559448,2
54738753,07/11/2018,108558726,1
54808034,07/11/2018,108557408,2
54691827,07/11/2018,108558557,1
54708923,07/11/2018,108557171,1
54252932,07/11/2018,108559506,1
55051173,07/11/2018,108557157,2
54354826,07/11/2018,108557336,2
55072750,07/11/2018,108557211,2
55073299,07/11/2018,108558944,1
55073300,07/11/2018,108558947,1
346240,07/05/2018,108539665,2
575165,07/05/2018,108540319,2
667066,07/05/2018,108539967,1
50422857,07/05/2018,108541003,2
51829596,07/05/2018,108539635,3
51879814,07/05/2018,108539747,2
51899636,07/05/2018,108539874,2
51903131,07/05/2018,108540157,2
52018143,07/05/2018,108540101,2
52113992,07/05/2018,108539778,1
52322694,07/05/2018,108539784,2
52337486,07/05/2018,108540082,2
52421734,07/05/2018,108542147,2
52495855,07/05/2018,108539754,1
52580836,07/05/2018,108540526,2
52851730,07/05/2018,108540329,2
52851846,07/05/2018,108540056,2
52873355,07/05/2018,108539599,1
52957736,07/05/2018,108539621,1
53108849,07/05/2018,108540026,1
53121066,07/05/2018,108539917,1
53125197,07/05/2018,108539709,2
236261,07/05/2018,108539649,2
565382,07/05/2018,108540087,2
2200697,07/05/2018,108540311,2
50911154,07/05/2018,108540245,1
51661992,07/05/2018,108539608,1
51702486,07/05/2018,108540065,1
51720104,07/05/2018,108539618,2
51753980,07/05/2018,108539610,4
51780502,07/05/2018,108540953,2
51795944,07/05/2018,108539682,3
51823351,07/05/2018,108539954,1
51848005,07/05/2018,108540309,2
51899059,07/05/2018,108539600,3
51910191,07/05/2018,108540403,3
51913217,07/05/2018,108540401,1
51941559,07/05/2018,108539626,1
51958608,07/05/2018,108539650,1
51994922,07/05/2018,108540554,2
52007658,07/05/2018,108539742,2
52050292,07/05/2018,108542146,1
52065113,07/05/2018,108540624,2
52160159,07/05/2018,108539977,2
52228613,07/05/2018,108539781,4
52651520,07/05/2018,108539803,2
52851988,07/05/2018,108539620,1
52868666,07/05/2018,108539804,1
52871760,07/05/2018,108539707,2
52888153,07/05/2018,108539684,1
52904514,07/05/2018,108539991,1
52977233,07/05/2018,108539687,1
52980374,07/05/2018,108540171,2
52983765,07/05/2018,108539749,2
52983918,07/05/2018,108539834,1
52987994,07/05/2018,108539774,3
53151276,07/05/2018,108540283,1
174731,07/05/2018,108540732,1
566562,07/05/2018,108540723,2
1272262,07/05/2018,108541052,4
1549004,07/05/2018,108540727,1
2077645,07/05/2018,108540733,1
50295721,07/05/2018,108539999,1
50566695,07/05/2018,108539870,2
50902340,07/05/2018,108539865,1
51232689,07/05/2018,108540127,1
50968524,07/05/2018,108539853,2
51393000,07/05/2018,108539940,1
51438444,07/05/2018,108539740,3
51548303,07/05/2018,108539628,1
51813279,07/05/2018,108540668,1
51903611,07/05/2018,108539636,1
51904697,07/05/2018,108540141,2
51922545,07/05/2018,108540924,2
51931178,07/05/2018,108539923,2
51996472,07/05/2018,108540090,1
51980262,07/05/2018,108539708,3
52077671,07/05/2018,108540626,2
52327612,07/05/2018,108539720,2
52383157,07/05/2018,108539714,1
52465710,07/05/2018,108540176,2
52527544,07/05/2018,108539637,1
52527562,07/05/2018,108541999,1
52663552,07/05/2018,108540146,1
52780161,07/05/2018,108540079,1
52947896,07/05/2018,108540404,2
52948841,07/05/2018,108539818,1
52979200,07/05/2018,108540174,2
53017263,07/05/2018,108539613,3
53020880,07/05/2018,108539719,2
53100339,07/05/2018,108539683,3
53137266,07/05/2018,108539630,1
53168073,07/05/2018,108539625,2
1233223,07/05/2018,108539806,1
1734849,07/05/2018,108540818,1
50167041,07/05/2018,108540817,1
50193622,07/05/2018,108540451,3
50259679,07/05/2018,108540728,1
50433839,07/05/2018,108539974,1
50939043,07/05/2018,108539841,1
51702694,07/05/2018,108539769,2
51714560,07/05/2018,108539601,1
51729046,07/05/2018,108540690,3
51772977,07/05/2018,108539790,3
51773454,07/05/2018,108540237,1
51920697,07/05/2018,108539750,2
52754749,07/05/2018,108540100,2
52799750,07/05/2018,108539779,1
52898152,07/05/2018,108539848,1
52978740,07/05/2018,108539863,3
53028242,07/05/2018,108539861,3
53282656,07/05/2018,108539738,2
53185861,07/05/2018,108539611,2
53234593,07/05/2018,108540035,2
53400032,07/05/2018,108539728,2
53533900,07/05/2018,108539795,2
53798959,07/05/2018,108539960,1
53845805,07/05/2018,108539694,3
53904298,07/05/2018,108539881,1
54087198,07/05/2018,108540103,1
54120775,07/05/2018,108539524,2
54148064,07/05/2018,108539810,2
54166750,07/05/2018,108540107,2
54171394,07/05/2018,108539857,2
54201496,07/05/2018,108539855,2
54207510,07/05/2018,108539632,1
54285710,07/05/2018,108539836,2
54571224,07/05/2018,108539984,2
53389734,07/05/2018,108539653,1
53471563,07/05/2018,108540236,1
53645443,07/05/2018,108539639,2
53724573,07/05/2018,108540111,1
53815891,07/05/2018,108540209,2
53833073,07/05/2018,108539699,1
54090261,07/05/2018,108539777,1
54134308,07/05/2018,108539622,2
54308950,07/05/2018,108539850,2
54324871,07/05/2018,108539920,2
54638372,07/05/2018,108540725,1
54772638,07/05/2018,108540059,2
54841126,07/05/2018,108539889,3
55068284,07/05/2018,108539929,1
53417661,07/05/2018,108540014,3
53524826,07/05/2018,108540525,2
54045363,07/05/2018,108540050,1
54128884,07/05/2018,108539830,2
54133439,07/05/2018,108540689,2
54190545,07/05/2018,108539597,1
54369056,07/05/2018,108539662,3
54406169,07/05/2018,108540092,1
54553991,07/05/2018,108540182,1
54754639,07/05/2018,108540152,2
54758031,07/05/2018,108539666,2
54897483,07/05/2018,108540147,2
54918582,07/05/2018,108540529,4
55068456,07/05/2018,108540852,1
53194358,07/05/2018,108539801,2
53321524,07/05/2018,108539633,2
53422819,07/05/2018,108539596,1
53709005,07/05/2018,108540106,1
53731182,07/05/2018,108539604,2
53736043,07/05/2018,108539688,1
53791161,07/05/2018,108539768,3
53980330,07/05/2018,108540229,1
54000300,07/05/2018,108539892,1
54042032,07/05/2018,108540219,2
54121784,07/05/2018,108539676,1
54151232,07/05/2018,108539675,1
54191694,07/05/2018,108540222,1
54293089,07/05/2018,108540018,2
88062,07/06/2018,108542247,2
749172,07/06/2018,108542282,2
774765,07/06/2018,108543505,1
50082034,07/06/2018,108543507,1
50108406,07/06/2018,108542378,1
50171612,07/06/2018,108542754,2
50494564,07/06/2018,108542794,4
50737630,07/06/2018,108542196,2
51748643,07/06/2018,108542811,2
51772759,07/06/2018,108542723,1
51781265,07/06/2018,108542219,1
51799033,07/06/2018,108542293,2
51816113,07/06/2018,108542557,3
51871722,07/06/2018,108542819,2
51873810,07/06/2018,108542553,1
51886737,07/06/2018,108542575,2
51919647,07/06/2018,108542262,1
51942232,07/06/2018,108542320,2
51965119,07/06/2018,108542380,3
52014841,07/06/2018,108542643,2
52188333,07/06/2018,108542213,1
52216702,07/06/2018,108542584,3
52236095,07/06/2018,108542223,1
52241454,07/06/2018,108542251,2
52294189,07/06/2018,108542250,2
52341994,07/06/2018,108542384,2
52583356,07/06/2018,108542281,2
52697059,07/06/2018,108542710,2
52724424,07/06/2018,108542906,2
52803942,07/06/2018,108542195,2
52851933,07/06/2018,108542228,2
52758593,07/06/2018,108542946,4
52862229,07/06/2018,108542657,1
52900151,07/06/2018,108543337,1
52918817,07/06/2018,108542489,1
52870117,07/06/2018,108542242,2
52872398,07/06/2018,108542735,4
52955399,07/06/2018,108542258,4
52964686,07/06/2018,108542719,1
52979869,07/06/2018,108542335,2
53021140,07/06/2018,108542238,1
53026595,07/06/2018,108542512,2
53031241,07/06/2018,108542302,2
53111093,07/06/2018,108542877,1
53112817,07/06/2018,108542231,2
53114585,07/06/2018,108543020,1
53047778,07/06/2018,108542364,2
53070976,07/06/2018,108542304,2
53149692,07/06/2018,108542321,2
53393024,07/06/2018,108542535,2
53621352,07/06/2018,108542968,1
53650955,07/06/2018,108542592,2
53755184,07/06/2018,108542922,1
53756070,07/06/2018,108542580,2
53789753,07/06/2018,108542974,1
54180936,07/06/2018,108542613,1
54201106,07/06/2018,108542369,2
54267779,07/06/2018,108543552,2
54282778,07/06/2018,108542177,2
54394563,07/06/2018,108542438,1
54400677,07/06/2018,108542743,1
54506635,07/06/2018,108542612,2
54572858,07/06/2018,108543317,3
54579985,07/06/2018,108542671,1
54783754,07/06/2018,108542962,1
54846267,07/06/2018,108543015,2
54847285,07/06/2018,108543506,1
256108,07/06/2018,108543057,2
355398,07/06/2018,108542709,2
430033,07/06/2018,108542783,2
1349573,07/06/2018,108544916,1
1537554,07/06/2018,108542395,3
789786,07/06/2018,108542804,1
2157068,07/06/2018,108542419,3
2257828,07/06/2018,108542404,3
51157971,07/06/2018,108542741,2
51405983,07/06/2018,108543467,1
51784388,07/06/2018,108542265,2
51791775,07/06/2018,108542271,2
51828475,07/06/2018,108542328,3
51847009,07/06/2018,108542860,1
51854797,07/06/2018,108542568,1
51895977,07/06/2018,108542792,1
51918570,07/06/2018,108542614,2
51921010,07/06/2018,108542215,3
51934681,07/06/2018,108542715,3
51941785,07/06/2018,108542929,2
51990987,07/06/2018,108542586,3
52028288,07/06/2018,108542253,2
52035611,07/06/2018,108542911,2
52078543,07/06/2018,108542362,2
52154250,07/06/2018,108542546,3
52567048,07/06/2018,108542645,1
52579919,07/06/2018,108542192,2
52601174,07/06/2018,108542449,2
52892322,07/06/2018,108542303,2
52976419,07/06/2018,108542412,2
52978376,07/06/2018,108543292,2
52979163,07/06/2018,108542627,2
52980179,07/06/2018,108542342,2
52982420,07/06/2018,108542928,2
52982987,07/06/2018,108542274,1
52950949,07/06/2018,108542544,1
52952336,07/06/2018,108542237,2
53019236,07/06/2018,108542461,1
53032156,07/06/2018,108542187,3
53079638,07/06/2018,108542942,2
53150215,07/06/2018,108542235,2
53221309,07/06/2018,108543294,3
53243668,07/06/2018,108542393,1
53327014,07/06/2018,108542325,3
53342790,07/06/2018,108542410,2
53366323,07/06/2018,108543025,2
53487704,07/06/2018,108542254,1
54085341,07/06/2018,108542722,1
54124669,07/06/2018,108542197,2
54236858,07/06/2018,108542789,1
54177997,07/06/2018,108542180,2
54684402,07/06/2018,108542312,2
55020638,07/06/2018,108542299,2
55063489,07/06/2018,108542945,1
55069625,07/06/2018,108544941,1
54907795,07/06/2018,108543510,1
54974829,07/06/2018,108543134,1
190535,07/06/2018,108542397,2
506969,07/06/2018,108542678,3
1237139,07/06/2018,108543478,2
1983817,07/06/2018,108543475,1
2292549,07/06/2018,108543504,1
2296324,07/06/2018,108544938,1
50271114,07/06/2018,108543466,1
50514681,07/06/2018,108542444,2
50711989,07/06/2018,108542517,2
50802135,07/06/2018,108542504,2
51210608,07/06/2018,108542652,3
51283354,07/06/2018,108542672,2
51720571,07/06/2018,108542370,2
51770623,07/06/2018,108542179,3
51774784,07/06/2018,108542226,3
51818589,07/06/2018,108542601,3
51831859,07/06/2018,108542218,3
51831942,07/06/2018,108543021,1
51833045,07/06/2018,108542225,2
51856809,07/06/2018,108542619,1
51860370,07/06/2018,108542386,1
51877750,07/06/2018,108542459,2
51913968,07/06/2018,108542550,2
51918445,07/06/2018,108542711,2
51921872,07/06/2018,108542908,2
51929009,07/06/2018,108542843,2
52015731,07/06/2018,108542212,2
52019171,07/06/2018,108543081,2
